           0         1
0  -0.849472 -1.096768
1  -1.077430 -1.096768
2  -1.077430 -1.065989
3  -1.077430 -1.035210
4  -1.077430 -1.004431
5  -1.077430 -0.973652
6  -1.077430 -0.942872
7  -1.077430 -0.912093
8  -1.077430 -0.881314
9  -1.077430 -0.850535
10 -1.077430 -0.819756
11 -1.077430 -0.788977
12 -1.077430 -0.758198
13 -1.077430 -0.727419
14 -1.077430 -0.696640
15 -1.077430 -0.665861
16 -1.077430 -0.635082
17 -1.077430 -0.604303
18 -1.077430 -0.573523
19 -1.077430 -0.542744
20 -1.077430 -0.511965
21 -1.077430 -0.481186
22 -1.077430 -0.450407
23 -1.077430 -0.419628
24 -1.077430 -0.388849
25 -1.077430 -0.358070
26 -1.077430 -0.327291
27 -1.077430 -0.296512
28 -1.077430 -0.265733
29 -1.077430 -0.234954
30 -1.077430 -0.204175
31 -1.077430 -0.173395
32 -1.077430 -0.142616
33 -1.077430 -0.111837
34 -1.077430 -0.081058
35 -1.077430 -0.050279
36 -1.077430 -0.019500
37 -1.077430  0.011279
38 -1.077430  0.042058
39 -1.077430  0.072837
40 -1.077430  0.103616
41 -1.077430  0.134395
42 -1.077430  0.165174
43 -1.077430  0.195954
44 -1.077430  0.226733
45 -1.077430  0.257512
46 -1.077430  0.288291
47 -1.077430  0.319070
48 -1.077430  0.349849
49 -1.077430  0.380628
